Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1746901056935
Timestamp end: 1746902057238

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      259.2   225.3    86.8   140.3   156.8   250.1   281.3   298.2   311.2   325.8   345.6   382.0   473.9  1407.3 15151.1   8809.6     8803
read      279.3   134.6    86.8   125.0   137.1   271.4   327.8   356.6   375.6   397.7   425.1   465.6   588.0  1380.3  3225.3  45619.3    45662
read      279.1   123.8    86.8   130.4   143.4   277.8   323.7   346.6   363.6   382.4   405.0   443.5   547.3  1293.6  3242.2  30938.1    30867
read      283.7   158.6    86.8   125.7   138.3   273.3   330.6   359.6   379.0   400.5   428.2   469.5   613.7  1949.2  4426.1  45665.6    45656
read      277.3   207.4    80.4   127.0   139.2   231.6   294.6   328.8   353.3   382.5   422.9   512.1  1168.6  2336.9  5424.4 100766.6   100938
read      258.8   128.1    80.4   134.4   148.8   235.2   285.6   314.2   335.2   359.8   390.8   436.6   568.7  1570.6  3170.0 132254.8   132360
read      248.1   116.2    80.4   122.4   133.1   230.1   295.3   322.0   339.8   359.7   383.5   419.2   499.8   899.2  3108.1  67485.0    67591
read      276.3   181.8    80.4   128.1   140.4   271.2   316.7   339.7   356.1   374.3   398.5   434.6   552.2  2182.7  7828.5  33973.3    33910
read      258.0   146.2    74.4   123.9   135.4   228.7   295.5   327.0   348.2   372.5   403.0   456.7   622.7  1721.5  3482.1  85520.7    85729
read      265.1   141.5    86.8   141.5   157.9   260.6   291.6   308.6   319.9   336.1   356.2   388.2   468.5  1402.2  5456.5  12918.3    12884
read      282.7   175.9    80.4   125.0   137.1   271.4   327.2   356.1   375.2   397.4   425.0   466.0   632.7  1962.0  7313.6  45733.6    45621
read      280.7   172.4    86.8   127.0   139.3   273.7   323.6   348.9   366.2   385.8   409.3   449.5   574.5  2405.1  5949.9  36911.9    36938
read      287.3   169.3    80.4   125.0   137.6   270.8   331.6   364.4   386.9   411.8   442.0   490.1   663.4  2139.0  4637.5  56966.0    56902
read      276.0   218.4    74.4   126.5   138.7   228.9   289.9   322.6   345.6   372.6   408.4   487.9  1309.7  2412.0  5929.8 102300.2   102243
read      258.5    94.6    86.8   138.4   153.9   256.4   287.8   304.5   316.0   330.9   349.7   384.0   467.1  1149.5  2464.7  13995.7    14085
read      256.7   139.7    74.4   124.7   136.4   225.6   290.3   323.1   345.6   370.9   402.8   460.9   668.2  1282.1  2977.4  93991.0    94103
read      248.6   141.9    80.4   123.2   133.8   237.9   295.8   319.4   335.1   352.1   372.7   404.0   481.8   939.6  3963.2  58351.9    58175
read      292.5   144.9    80.4   151.6   170.5   273.7   321.6   349.2   369.9   394.8   427.3   480.1   626.1  1537.5  4106.9 151558.7   151312
read      245.5   118.6    80.4   122.5   133.4   219.9   285.5   316.8   337.1   359.5   386.3   425.5   520.0   914.1  2933.9  83382.2    83333
read      340.1   157.1    86.8   173.1   196.8   319.8   375.4   407.1   431.2   460.2   498.1   559.1   711.8  1811.5  4282.4 165035.4   165153
read      261.1   159.9    80.4   133.2   147.1   235.2   287.2   316.0   337.1   361.8   393.1   440.9   585.8  2025.3  5960.8 123985.9   123975
read      266.5   117.7    86.8   129.5   142.2   266.6   307.3   327.4   341.5   358.8   379.9   414.4   499.8  1299.3  2663.9  28454.9    28449
read      257.5   114.1    93.8   137.6   152.9   255.1   287.1   304.1   315.9   330.8   349.4   381.6   463.2   967.9  4578.7  14843.6    14903
read      275.1   166.3    80.4   129.0   141.7   273.1   318.0   340.2   355.8   372.9   396.1   431.4   537.7  1248.3  7932.7  31141.7    31189
read      280.1   150.1    86.8   126.7   139.1   272.6   326.3   353.2   371.3   392.5   418.6   459.0   584.3  1740.6  4573.4  40551.7    40636
read      260.8   154.5    80.4   123.9   135.3   231.4   299.2   330.6   351.9   376.2   406.9   459.9   633.3  1850.0  4182.1  80479.4    80574
read      343.8   174.3    80.4   168.8   191.3   314.5   379.9   419.1   448.0   482.4   527.3   594.0   747.9  1718.8  6119.1 168742.8   168820
read      331.3   160.0    74.4   163.7   185.8   305.5   364.4   399.5   426.9   460.6   505.2   577.8   731.3  1391.8  4316.6 162589.8   162621
read      252.1   125.8    80.4   127.9   140.3   228.7   283.9   313.5   334.3   358.2   387.8   431.8   550.1  1304.6  3238.4 101552.4   101621
read      255.5   203.3    80.4   124.0   135.1   238.6   298.7   324.1   341.3   361.4   386.3   425.6   530.4  1428.0  9429.5  58587.3    58592
read      299.0   151.1    80.4   152.9   172.5   279.5   329.1   357.7   378.3   403.2   436.7   494.0   641.7  1652.7  4172.5 153003.2   153042
read      252.8   190.9    80.4   128.0   140.3   224.8   280.7   312.6   334.9   360.2   391.0   435.7   568.8  1452.3  5653.0 112164.3   112238
read      328.1   153.0    80.4   164.4   187.8   310.4   364.4   394.7   417.1   443.6   478.9   538.1   688.6  1530.5  3936.0 160265.4   160265
read      249.4   210.8    74.4   123.4   134.2   237.0   294.8   318.2   333.9   350.8   371.7   403.4   484.7   965.1 10821.2  57089.3    57109
read      245.9   126.5    74.4   123.2   134.4   218.8   282.8   315.3   336.5   359.8   387.8   428.7   533.4   947.0  3318.6  88479.7    88551
read      264.2   150.0    86.8   134.4   150.8   243.0   278.9   301.0   318.2   342.2   376.7   443.3   746.4  1637.5  3189.3   8374.4     8385
read      267.6   126.9    80.4   129.0   141.2   266.9   311.1   332.6   346.9   365.8   389.0   425.1   514.9  1139.1  4409.2  34070.3    34088
read      476.7   397.7    86.8   164.9   186.5   309.7   458.1   597.7   705.0   845.7  1039.3  1314.3  1750.4  2763.7  7535.6 113513.9   113600
read      576.7   603.6    86.8   185.1   209.6   310.8   401.7   640.2   924.3  1241.6  1436.5  1647.9  2872.7  4734.8  8083.4 131796.9   131842
read      551.7   587.5    86.8   179.5   203.4   307.4   407.6   589.4   781.7  1061.5  1377.1  1639.8  2794.0  5013.8  8127.8 111934.8   112066
read      310.4   201.6    80.4   132.8   148.3   270.5   337.7   377.1   405.7   441.4   493.2   601.1  1016.2  1819.0  6276.7  72579.9    72585
read      551.6   572.5    86.8   179.6   204.4   306.0   392.1   581.3   831.9  1165.0  1400.6  1602.0  2692.7  4303.2  8090.1 133617.9   133669
read      267.8   221.1    86.8   140.7   155.6   249.3   283.7   302.5   316.5   335.0   361.6   412.2   725.3  2251.1  8002.4  11800.9    11820
read      254.4    83.7    93.8   143.6   160.1   252.6   282.2   297.9   310.3   323.5   342.5   372.3   440.6   682.0  2145.3  12593.3    12639
read      558.2   564.3    86.8   180.2   204.4   306.0   400.8   637.2   900.8  1203.4  1400.4  1598.0  2600.5  4270.0  8039.3 118560.0   118548
read      585.5   634.1    86.8   183.6   208.9   311.2   395.7   604.7   894.1  1240.8  1468.9  1733.0  3133.6  4624.1  8048.0 166003.1   165754
read      503.1   599.7    86.8   169.1   191.8   287.8   353.0   442.1   582.6   832.9  1250.4  1599.5  2971.4  7356.9  8185.3  86686.0    86823
read      277.5   285.6    86.8   136.2   149.9   249.3   290.9   313.7   330.8   351.8   383.3   445.7   894.7  4023.0 10137.5  16906.8    16898
read      584.6   597.5    86.8   186.9   212.5   320.3   432.3   671.6   920.6  1229.1  1439.1  1658.5  2825.0  4688.5  8086.5 123103.7   123124
read      320.1   232.8    80.4   133.3   148.6   276.5   345.0   385.0   413.5   448.9   501.6   629.0  1148.4  2220.4  7772.2  72219.1    72278
read      265.2   110.1    80.4   127.7   139.2   263.1   316.3   340.4   357.0   374.5   397.9   431.8   503.9   640.5  2219.0  47795.2    47757
read      271.8   125.3    80.4   127.4   139.2   261.6   323.1   352.2   371.9   394.0   420.8   460.1   545.1   759.0  3327.2  60656.4    60510
read      273.5   106.2    86.8   135.2   148.7   278.0   315.5   334.5   347.1   364.3   385.0   416.8   486.0   634.3  2809.4  25129.7    25237
read      303.0   168.7    80.4   136.8   152.2   274.7   344.5   384.9   412.5   443.7   483.1   546.2   727.3  1153.0  6270.5  97967.1    97783
read      566.6   579.4    86.8   182.1   207.0   314.1   409.2   624.3   873.7  1198.8  1422.0  1635.8  2693.8  4434.3  8076.7 118905.0   118966
read      271.3   113.4    93.8   141.2   156.1   267.9   303.0   320.9   335.4   351.6   373.6   411.3   530.1  1180.5  3090.3  16625.6    16631
read      263.7   116.7    93.8   146.4   163.7   259.9   291.5   309.1   320.9   337.2   357.7   391.0   464.2   741.7  6098.6  11716.0    11743
read      575.1   590.0    86.8   182.6   207.1   315.7   420.1   655.8   901.4  1199.4  1425.1  1661.2  2754.2  4602.7  8065.2 115064.2   115026
read      558.3   624.1    80.4   176.1   201.3   305.4   379.3   521.0   770.7  1140.4  1443.0  1691.2  3000.0  5112.8  8416.3 122266.8   122371
read      253.1   168.7    93.8   141.9   155.6   238.3   269.7   287.9   301.3   317.5   341.3   384.4   631.2  1604.8  7862.8   7223.6     7198
read      267.7    98.8    86.8   135.6   149.2   272.6   308.1   325.6   338.3   353.0   371.9   401.4   464.3   583.0  3049.5  25028.6    25022
read      592.8   628.8    86.8   186.5   211.8   314.6   398.6   626.3   979.3  1313.8  1487.9  1708.9  3026.4  4613.6  8103.2 157398.2   157513
read      600.1   673.3    86.8   184.2   209.9   311.7   385.7   561.9   923.8  1313.0  1530.5  1812.0  3331.2  4976.9  8093.1 165178.3   171975
read      620.6   873.2    80.4   170.9   195.1   296.3   368.4   563.7   888.0  1259.4  1503.8  1851.6  3881.4  8040.7  9939.6  18059.3   154918
read     1730.1  2523.1   118.1   223.3   259.8   603.8  1163.0  1346.9  1527.5  4022.6  7426.0  7837.3  8126.4 10276.8 10993.6    107.9   139185

Total QPS = 91693.7 (91693680 / 1000.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 22648339454 bytes :   21.6 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.82%,11.56%,100.00%
