Timestamp start: 1745953051438
Timestamp end: 1745954851753

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      215.9   130.6    63.8   103.1   112.5   196.4   248.7   275.0   294.0   315.4   340.6   378.7   479.7   803.3  3580.0  72564.0    72585
read      221.2   136.6    63.8   109.7   121.0   195.5   238.4   266.2   287.3   312.7   344.2   393.9   527.5  1649.9  4623.1 133747.8   133669
read      184.3    99.6    68.9   113.5   128.2   177.1   196.6   207.9   216.0   226.2   238.4   261.5   339.8   935.7  5291.8  11810.4    11820
read      182.2    73.3    68.9   114.0   128.4   177.1   195.8   206.4   214.4   224.1   235.6   258.1   319.1   599.5  2878.4  12610.6    12639
read      367.1   348.0    68.9   120.5   136.8   236.2   316.2   414.4   502.6   619.1   786.6  1125.7  1606.1  2775.5  7234.6 118334.3   118548
read      541.1   627.7    68.9   148.3   170.0   280.4   336.6   409.4   795.0  1331.4  1485.7  1681.2  3012.5  4426.2  8020.3 165620.1   165754
read      493.4   633.5    68.9   135.8   155.2   255.9   311.0   369.8   512.2  1070.2  1415.1  1659.4  3044.2  7231.3  8116.5  87013.3    86823
read      197.6   136.5    68.9   109.8   124.2   185.4   207.8   220.1   229.5   240.5   256.3   291.0   500.4  1725.1  7216.4  16876.7    16898
read      502.2   575.2    63.8   142.5   164.1   264.3   319.5   397.2   681.4  1224.3  1407.7  1600.5  2654.3  3970.8  7999.8 123040.8   123124
read      224.8   106.6    63.8    98.6   109.2   207.6   260.0   290.7   313.0   337.5   367.3   408.6   502.8   716.0  1640.8  72301.0    72278
read      216.0    86.9    63.8   100.7   111.7   208.2   249.7   272.1   288.7   307.9   331.1   365.4   435.6   579.6  1071.0  47692.1    47757
read      220.2   138.8    63.8    98.7   109.3   207.9   254.6   281.7   300.9   322.0   347.2   385.9   459.9   604.1  3064.3  60439.8    60510
read      203.7    70.8    63.8   107.2   120.7   201.3   228.9   243.3   253.4   266.5   283.3   311.8   370.8   489.3  2032.0  25128.8    25237
read      250.0   138.1    63.8   105.0   116.5   212.5   280.0   327.9   361.6   396.7   437.0   499.4   639.0   918.8  1762.4  97730.6    97783
read      362.6   359.4    68.9   119.0   134.9   235.2   316.0   407.0   484.9   588.0   747.4  1103.5  1654.0  3143.6  7513.7 119000.7   118966
read      187.7    56.5    68.9   111.2   126.6   184.7   205.2   216.2   224.5   233.6   247.5   270.2   330.4   507.3  1568.9  16603.5    16631
read      178.3    58.2    68.9   115.3   129.1   173.8   191.0   200.5   208.2   216.7   229.3   249.7   311.1   465.2  2720.5  11738.5    11743
read      284.9   192.8    63.8   110.4   123.6   219.8   300.7   369.2   415.2   465.0   530.3   638.5   932.3  1457.4  3400.1 114905.4   115026
read      494.1   554.4    68.9   140.2   161.5   264.2   330.9   442.1   689.3  1099.2  1365.9  1586.0  2550.7  3969.7  7965.8 122397.6   122371
read      174.5    57.8    68.9   119.8   130.4   167.5   182.9   192.2   199.3   208.6   220.6   245.2   338.2   592.9  2097.6   7254.4     7198
read      203.2   133.5    63.8   107.2   120.8   199.3   226.1   239.9   250.2   262.7   278.5   307.8   374.1   590.8  4396.9  25008.2    25022
read      537.9   620.8    68.9   147.2   169.4   280.7   340.6   434.1   772.9  1298.6  1469.5  1677.8  2966.5  4413.3  8030.2 157504.9   157513
read      546.5   653.0    68.9   147.4   169.1   280.9   339.2   417.4   711.3  1318.3  1506.2  1742.8  3194.9  4686.2  8074.3 171961.7   171975
read      550.4   659.3    68.9   148.2   170.2   282.5   341.7   425.4   725.5  1314.5  1509.6  1747.9  3284.4  4723.0  8033.3 154820.9   154918
read      546.6   671.0    68.9   147.1   168.9   278.3   334.4   404.9   665.9  1312.2  1507.3  1754.0  3328.1  5034.3  8082.0 139133.1   139185
read      533.1   657.7    68.9   145.0   166.4   270.8   325.7   394.0   627.3  1287.5  1488.2  1732.7  3272.2  4815.6  8077.6 152735.4   152724
read      582.6   815.3    74.4   147.0   169.6   278.8   342.2   456.9   813.1  1324.4  1514.5  1778.0  3641.9  7994.8 10126.1  20844.0    20845
read      520.4   649.6    68.9   144.1   165.0   263.0   316.8   379.3   585.9  1251.3  1465.7  1715.5  3192.0  4942.1  8057.6 140242.7   140348
read      543.0   674.4    68.9   146.8   168.5   273.1   335.0   417.1   694.9  1283.6  1489.0  1749.3  3293.7  7114.4  8116.8  88690.9    88725
read      496.6   620.4    68.9   141.1   158.9   253.8   315.7   392.6   596.0  1044.4  1402.7  1669.4  2970.5  5976.1  8101.3 134050.4   134088
read      427.7   506.1    68.9   129.4   144.6   234.7   321.5   460.7   602.8   777.1  1018.3  1365.8  2290.2  7067.6  8102.2  65862.5    66126
read      287.6   210.4    63.8   109.1   122.0   219.1   294.2   354.3   398.5   453.2   534.0   690.3  1077.3  1642.6  3216.2  78131.0    78214
read      226.2    99.8    63.8   100.6   111.7   214.8   262.2   290.1   310.1   332.0   357.9   395.4   470.7   626.1  1552.4  55233.0    55191
read      227.7   104.3    63.8   101.3   112.3   216.2   263.5   290.9   310.6   332.4   359.1   397.4   475.3   652.2  2308.0  54159.9    54081
read      312.7   239.3    63.8   114.0   128.7   229.3   314.4   391.9   446.4   508.9   597.9   760.4  1222.1  1877.8  3407.5 112574.6   112478
read      559.1   655.4    68.9   150.1   172.0   289.1   350.6   434.2   807.8  1351.4  1521.2  1730.8  3244.3  4554.6  8048.5 179697.3   179666
read      570.0   707.2    74.4   150.4   172.1   288.4   348.7   427.1   726.6  1362.0  1548.4  1802.9  3458.8  7239.2  8113.9 100530.7   100584
read      486.3   630.5    68.9   133.6   151.9   253.5   314.2   371.0   486.7   938.2  1411.3  1681.3  3138.3  5886.3  8084.0 128081.7   127920
read      297.4   620.6    74.4   109.6   121.9   176.8   203.9   225.9   248.3   294.2   414.5   840.6  2244.9  7970.0  9843.8   6616.4     6594
read      211.8   134.4    68.9   108.4   122.2   207.5   236.3   252.1   264.0   277.4   296.7   327.9   397.1   551.3  3296.5  25005.5    25020
read      547.6   648.4    68.9   146.3   167.1   286.2   353.5   436.5   730.9  1323.9  1500.5  1713.1  3184.6  5088.6  8085.3 129770.8   129587
read      214.7   275.2    68.9   117.9   133.8   186.8   207.7   219.7   229.5   241.7   260.8   306.5   855.8  4887.4  8058.5  10290.8    10277
read      579.1   681.8    74.4   153.8   175.7   297.1   368.1   462.7   895.4  1382.9  1552.0  1770.0  3435.1  5008.1  8077.1 148302.4   148458
read      403.2   525.0    63.8   116.4   135.4   239.0   300.3   351.1   406.6   539.8   966.7  1459.6  2475.2  6979.0  8784.0  66057.8    66114
read      228.3   104.2    63.8   102.1   113.4   217.5   263.8   290.6   310.1   331.3   356.4   394.1   471.8   663.7  2587.1  49338.9    49261
read      575.2   674.6    74.4   153.0   175.6   295.5   365.7   466.0   903.4  1378.4  1542.2  1753.1  3288.3  5504.2  8109.0 133119.1   133049
read      529.2   658.2    68.9   140.7   161.1   273.0   338.1   410.8   602.7  1244.8  1484.7  1739.6  3196.0  6877.0  8097.6 106722.9   106628
read      219.5   145.0    68.9   107.3   120.8   205.9   235.9   253.1   266.4   282.5   305.6   345.4   598.8  1734.9  7204.3  23541.6    23498
read      282.8   207.4    63.8   108.2   121.1   222.9   298.7   353.9   392.7   435.3   494.6   612.3  1116.3  1921.8  3530.0 103505.3   103564
read      573.0   663.4    68.9   153.4   176.0   295.8   369.9   485.1   860.2  1355.4  1538.0  1772.6  3223.0  4694.6  8052.8 161612.0   161774
read      355.1   495.8    63.8   114.3   130.9   226.9   281.9   322.7   362.0   436.0   636.4  1214.2  2228.1  7543.3  9093.4  39103.7    39037
read      595.9   697.0    68.9   156.6   179.9   305.9   387.4   515.1   994.3  1402.6  1574.7  1812.1  3300.6  4723.9  8103.6 163634.8   163622
read      599.3   716.0    68.9   155.9   178.8   303.8   379.6   487.8   896.5  1409.3  1596.4  1858.7  3475.0  6811.0  8098.5 132283.1   132405
read      602.3   715.6    74.4   156.1   179.4   306.0   387.5   510.3   916.6  1405.3  1593.4  1859.8  3464.1  7001.6  8121.4 131714.5   131596
read      591.4   707.0    68.9   154.5   177.3   301.3   372.6   470.0   842.4  1397.6  1585.1  1844.3  3535.9  5046.9  8070.5 174376.2   174543
read      572.7   717.9    74.4   152.9   174.6   285.8   354.6   445.3   737.9  1342.6  1551.3  1827.8  3517.5  7456.6  8130.1  90492.1    90567
read      532.9   672.5    68.9   145.2   164.0   267.4   338.3   423.5   648.3  1209.3  1477.8  1751.0  3234.2  7258.5  8098.3 116678.2   116582
read      647.7   919.3    74.4   151.9   174.7   300.2   399.1   628.9  1019.0  1388.5  1587.2  1894.5  4014.9  8062.9 10050.0  13879.7    13888
read      586.8   697.0    68.9   154.2   177.3   297.8   370.3   470.9   876.1  1392.6  1575.5  1830.9  3406.0  6017.4  8094.6 119224.9   119224
read      589.0   703.2    68.9   154.6   177.3   298.9   370.0   465.7   842.8  1400.0  1585.8  1843.6  3486.4  5039.4  8080.7 156498.9   156471
