Random waveform, supplied seed
Total number of intervals = 100 (5010, 14153, 12847, 122113, 50875, 136546, 70864, 80412, 81017, 88572, 16903, 32183, 118354, 53402, 79848, 46581, 69610, 15777, 16782, 98581, 64481, 91484, 129570, 82613, 139637, 42701, 133754, 45487, 62400, 111669, 54450, 22077, 22434, 71452, 160518, 114530, 15694, 13974, 167456, 166478, 175859, 155574, 141728, 9698, 42127, 106763, 14288, 18590, 36794, 90978, 28093, 148828, 162888, 39870, 157975, 63111, 161128, 36719, 52892, 89792, 46515, 11332, 27809, 101648, 161303, 171571, 27602, 132029, 106872, 108251, 5989, 17799, 42915, 59345, 46647, 130227, 97374, 75119, 21120, 33287, 113947, 5511, 27215, 93839, 170550, 11360, 160718, 145580, 179245, 24001, 156476, 83852, 146425, 23583, 132562, 139377, 56914, 133118, 32044, 61554)
Average QPS expected = 79796
Timestamp start: 1745831161060
Timestamp end: 1745832161367

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      216.0   130.3    68.9   104.7   114.3   187.6   242.4   274.1   294.8   317.5   344.0   383.8   501.7  1355.3  3538.0 106952.0   106872
read      216.0   130.7    68.9   104.4   113.8   187.0   240.6   272.6   293.5   316.4   343.6   384.8   525.3  1567.0  3650.4 108270.0   108251
read      196.0   104.6    80.4   133.4   147.8   188.8   203.3   213.8   221.1   230.3   242.1   261.6   315.8  1091.3  4394.8   6007.9     5989
read      227.6   112.6    80.4   119.5   136.3   222.8   252.7   267.4   277.0   289.5   305.0   329.6   401.0  1309.0  3912.3  17755.2    17799
read      253.7   155.0    68.9   108.7   119.2   242.0   292.3   319.0   337.4   358.1   383.1   422.2   543.5  1938.7  5287.6  42887.4    42915
read      259.0   183.1    68.9   104.2   113.9   238.6   297.1   330.8   354.7   381.4   413.0   461.3   625.5  2399.9  6052.9  59498.8    59345
read      238.5    98.7    68.9   108.7   119.6   238.5   284.8   306.8   321.1   338.4   359.2   389.0   444.9   549.5  1918.1  46656.6    46647
read      522.0   603.6    74.4   151.5   175.7   268.2   314.1   376.8   796.9  1311.2  1446.1  1613.0  2712.7  4655.2  8107.2 130393.3   130227
read      275.7   252.4    68.9   107.2   118.8   221.3   283.6   323.7   353.1   386.5   429.4   528.6  1413.3  2739.1  7275.4  97360.9    97374
read      236.0   115.2    68.9   103.0   113.1   222.7   281.5   310.5   330.5   352.6   379.4   418.0   497.4   636.0  3086.7  75152.1    75119
read      233.7    75.9    74.4   120.2   135.7   238.0   266.0   279.5   289.4   300.3   315.0   337.3   381.0   471.4  1459.3  21023.3    21120
read      241.6    91.6    68.9   114.0   126.5   246.9   283.0   300.7   313.2   327.4   344.6   371.1   426.2   533.7  2367.8  33361.5    33287
read      274.7   166.0    68.9   113.2   126.0   224.4   299.8   356.9   395.6   436.9   493.1   583.7   783.9  1166.9  2357.0 113776.2   113947
read      209.7    91.4    80.4   138.8   153.3   201.9   222.4   233.9   242.6   252.0   264.7   283.2   339.5  1099.6  3114.4   5492.0     5511
read      240.6    92.7    74.4   117.2   131.4   245.7   277.6   293.4   304.8   317.3   334.2   358.9   407.5   571.2  2230.1  27105.8    27215
read      239.9   120.6    68.9   104.2   114.5   216.7   282.8   318.0   341.9   368.1   398.8   442.8   540.6   686.4  2552.4  93635.8    93839
read      525.0   605.6    74.4   151.3   174.3   270.9   317.8   380.4   746.2  1312.1  1460.6  1646.5  2822.4  4075.4  8018.3 170409.5   170550
read      310.3   540.8    80.4   121.0   135.6   217.4   249.9   267.9   282.0   303.1   354.8   826.6  1842.6  7857.3  9077.0  11330.6    11360
read      529.9   610.4    74.4   152.4   176.0   273.7   321.8   392.7   778.7  1311.7  1459.6  1646.2  2867.5  4482.1  8041.6 160428.8   160718
read      534.1   642.9    74.4   152.0   175.6   271.9   318.9   381.6   680.5  1303.8  1480.2  1697.9  3202.2  4798.3  8060.4 145547.3   145580
read      532.9   654.5    74.4   152.0   175.7   269.2   315.3   371.2   609.0  1295.9  1489.7  1728.5  3287.5  4665.9  8053.8 179210.3   179245
read      571.2   819.7    74.4   153.0   176.4   268.9   320.0   403.9   765.1  1311.8  1492.3  1735.8  3663.3  8013.7 10050.6  23989.1    24001
read      535.8   663.0    74.4   151.5   174.9   270.3   317.2   374.9   624.2  1289.5  1490.1  1731.1  3361.7  5005.9  8081.8 156582.5   156476
read      519.9   666.1    74.4   151.3   171.7   258.3   307.6   368.2   602.4  1213.7  1455.3  1710.9  3185.4  7420.9  8136.6  83826.9    83852
read      501.8   628.6    80.4   142.4   162.6   263.3   309.9   360.0   496.0  1143.3  1445.6  1677.1  3129.8  4984.5  8076.2 146264.9   146425
read      276.2   345.2    74.4   114.4   127.7   231.8   273.1   294.7   312.0   333.7   367.3   470.3  1455.6  7118.7  8110.9  23554.7    23583
read      524.9   603.7    74.4   152.2   176.2   271.3   319.5   393.6   795.0  1299.6  1444.2  1621.2  2793.6  4387.0  8049.6 132559.8   132562
read      530.8   634.8    68.9   153.0   176.3   271.5   320.3   391.2   695.1  1287.7  1467.5  1685.9  3110.6  4828.1  8053.3 139481.7   139377
read      305.9   355.4    68.9   111.3   124.9   234.6   291.9   324.8   349.0   379.9   428.6   700.0  1684.1  3763.3  8014.3  57059.9    56914
read      523.6   616.4    74.4   150.9   173.8   270.4   318.3   385.7   696.0  1292.0  1452.6  1648.2  2909.1  4735.7  8047.5 133078.7   133118
read      256.7   191.0    68.9   114.6   127.9   247.5   286.7   306.1   319.4   336.4   358.2   395.2   712.2  2207.4  7655.1  32087.1    32044
read      243.6   106.4    68.9   106.0   116.8   236.6   292.0   318.7   337.2   358.0   383.1   419.6   494.3   615.1  1408.8  61556.5    61554

Total QPS = 79795.3 (79795352 / 1000.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 19709452191 bytes :   18.8 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.83%,12.56%,100.00%
